title, studio, total_gross, total_gross_theaters, opening, opening_theaters, open
#Horror, IFC, n/a, n/a, n/a, n/a, 11/20/2015
$9.99, Reg., $52384, 4, $478, 1, 12/12/2008
$upercapitalist, Truly, $15919, 1, $8372, 1, 8/10/2012
(500) Days of Summer, FoxS, $32391374, 1048, $834501, 27, 7/17/2009
(Untitled), Gold., $230600, 25, $18002, 3, 10/23/2009
...And Justice for All, Col., $33300000, n/a, n/a, n/a, 10/19/1979
1 Mile Above, AR, n/a, n/a, n/a, n/a, 6/7/2013
1+1=11, Eros, $132498, 18, $92342, 18, 3/28/2003
1000 Rupee Note, KL, $2404, 1, $1697, 1, 9/23/2016
1000 Times Good Night, FM, $53895, 24, $24120, 24, 10/24/2014
10, WB, $74865517, n/a, $3526692, 706, 10/5/1979
10 Cloverfield Lane, Par., $72082998, 3427, $24727437, 3391, 3/11/2016
10 Days in a Madhouse, CafeP, $14616, 10, $4773, 1, 11/11/2015
10 Items or Less, Think, $83291, 15, $35929, 15, 12/1/2006
10 Questions for the Dalai Lama, Mont., $224546, 11, n/a, n/a, 4/27/2007
10 Rules for Sleeping Around, Scre., n/a, n/a, n/a, n/a, 4/4/2014
10 Things I Hate About You, BV, $38178166, 2311, $8330681, 2271, 3/31/1999
10 to Midnight, MGM, $7175592, 595, $3050225, 595, 3/11/1983
10 Years, Anch., $203373, 63, $22707, 3, 9/14/2012
10000 B.C., WB, $94784201, 3454, $35867488, 3410, 3/7/2008
10000 Km, BG, $12423, 11, $8941, 11, 7/10/2015
100 Bloody Acres, DR, $6388, 13, $3419, 13, 6/28/2013
The 100-Year Old Man Who Climbed Out the Window and Disappeared, MBox, $944193, 76, n/a, n/a, 5/1/2015
1001 Grams, KL, $10983, 1, n/a, n/a, 5/8/2015
101 Dalmatians, Dis., $14000000*, n/a, n/a, n/a, 1/25/1961
101 Dalmatians (1996), BV, $136189294, 2901, $33504025, 2794, 11/27/1996
101 Dalmatians (Re-issue) (1969), Dis., $18000000*, n/a, n/a, n/a, 1/1/1969
101 Dalmatians (Re-issue) (1979), Dis., $19000000*, n/a, n/a, n/a, 1/1/1979
101 Dalmatians (Re-issue) (1985), BV, $33049729*, 1185, $2389226, 1097, 12/20/1985
101 Dalmatians (Re-issue) (1991), BV, $60830285*, 1825, $10279044, 1777, 7/12/1991
101 Reykjavik, Men., $126404, 2, $14656, 2, 7/27/2001
102 Dalmatians, BV, $66957026, 2704, $19883351, 2704, 11/22/2000
10th & Wolf, Think, $54702, 6, $20774, 6, 8/18/2006
11 Flowers, FRun, $9213, 2, $3516, 2, 2/22/2013
11-11-11, Rocket, $32771, 17, $32771, 17, 11/11/2011
